location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
739,"McMillan Reservoir","bc",0.4,"µg/m³","2019-02-17T03:00:00Z","2019-02-16T22:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.55,"µg/m³","2019-02-17T04:00:00Z","2019-02-16T23:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.44,"µg/m³","2019-02-17T05:00:00Z","2019-02-17T00:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.36,"µg/m³","2019-02-17T06:00:00Z","2019-02-17T01:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.4,"µg/m³","2019-02-17T10:00:00Z","2019-02-17T05:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.38,"µg/m³","2019-02-17T11:00:00Z","2019-02-17T06:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.33,"µg/m³","2019-02-17T12:00:00Z","2019-02-17T07:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.3,"µg/m³","2019-02-17T14:00:00Z","2019-02-17T09:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.26,"µg/m³","2019-02-17T15:00:00Z","2019-02-17T10:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.25,"µg/m³","2019-02-17T16:00:00Z","2019-02-17T11:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.36,"µg/m³","2019-02-17T17:00:00Z","2019-02-17T12:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.31,"µg/m³","2019-02-17T18:00:00Z","2019-02-17T13:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.28,"µg/m³","2019-02-17T19:00:00Z","2019-02-17T14:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.23,"µg/m³","2019-02-17T20:00:00Z","2019-02-17T15:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.24,"µg/m³","2019-02-17T21:00:00Z","2019-02-17T16:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.3,"µg/m³","2019-02-17T22:00:00Z","2019-02-17T17:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.31,"µg/m³","2019-02-17T23:00:00Z","2019-02-17T18:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.33,"µg/m³","2019-02-18T00:00:00Z","2019-02-17T19:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.62,"µg/m³","2019-02-18T01:00:00Z","2019-02-17T20:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.59,"µg/m³","2019-02-18T02:00:00Z","2019-02-17T21:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.41,"µg/m³","2019-02-18T03:00:00Z","2019-02-17T22:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.53,"µg/m³","2019-02-18T04:00:00Z","2019-02-17T23:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.4,"µg/m³","2019-02-18T05:00:00Z","2019-02-18T00:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.32,"µg/m³","2019-02-18T06:00:00Z","2019-02-18T01:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.23,"µg/m³","2019-02-18T07:00:00Z","2019-02-18T02:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.22,"µg/m³","2019-02-18T08:00:00Z","2019-02-18T03:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.19,"µg/m³","2019-02-18T09:00:00Z","2019-02-18T04:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.18,"µg/m³","2019-02-18T10:00:00Z","2019-02-18T05:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.18,"µg/m³","2019-02-18T11:00:00Z","2019-02-18T06:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.16,"µg/m³","2019-02-18T12:00:00Z","2019-02-18T07:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.26,"µg/m³","2019-02-18T13:00:00Z","2019-02-18T08:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.33,"µg/m³","2019-02-18T14:00:00Z","2019-02-18T09:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.3,"µg/m³","2019-02-18T15:00:00Z","2019-02-18T10:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.23,"µg/m³","2019-02-18T16:00:00Z","2019-02-18T11:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.2,"µg/m³","2019-02-18T17:00:00Z","2019-02-18T12:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.18,"µg/m³","2019-02-18T18:00:00Z","2019-02-18T13:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.17,"µg/m³","2019-02-18T19:00:00Z","2019-02-18T14:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.14,"µg/m³","2019-02-18T20:00:00Z","2019-02-18T15:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.14,"µg/m³","2019-02-18T21:00:00Z","2019-02-18T16:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.12,"µg/m³","2019-02-18T22:00:00Z","2019-02-18T17:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
